From page,To page,Anchor text (EN),Anchor text (UK),Placement,Reason
/en/pages/index.html,/en/pages/pricing.html,See pricing,Переглянути ціни,Hero/body,Conversion
/en/pages/index.html,/en/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Topical relevance
/en/pages/index.html,/en/pages/why-selfio.html,Why Selfio,Чому Selfio,Body,Explain product value
/en/pages/index.html,/en/pages/signin.html#register,Create account,Створити акаунт,Header CTA,Funnel entry
/en/pages/index.html,/en/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/en/pages/why-selfio.html,/en/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Next step
/en/pages/why-selfio.html,/en/pages/pricing.html,See plans,Переглянути плани,Body,Conversion
/en/pages/why-selfio.html,/en/pages/signin.html#register,Start free,Почати безкоштовно,Body CTA,Funnel
/en/pages/why-selfio.html,/en/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/en/pages/solutions.html,/en/pages/pricing.html,See plans,Переглянути плани,Body/after cards,Conversion
/en/pages/solutions.html,/en/pages/why-selfio.html,Why Selfio,Чому Selfio,Body,Context
/en/pages/solutions.html,/en/pages/signin.html#register,Start free,Почати безкоштовно,Body CTA,Funnel
/en/pages/solutions.html,/en/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/en/pages/community.html,/en/pages/pricing.html,See pricing,Переглянути ціни,Body,Conversion
/en/pages/community.html,/en/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Topic link
/en/pages/community.html,/en/pages/signin.html#register,Join now,Приєднатися,Body CTA,Funnel
/en/pages/community.html,/en/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/en/pages/pricing.html,/en/pages/signin.html#register,Create account,Створити акаунт,Above plans,Conversion
/en/pages/pricing.html,/en/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry
/en/pages/pricing.html,/en/pages/solutions.html,Explore solutions,Перейти до рішень,Below plans,Topical
/en/pages/pricing.html,/en/pages/why-selfio.html,Why Selfio,Чому Selfio,Below plans,Trust/positioning

# UK mirror (same logic)
/uk/pages/index.html,/uk/pages/pricing.html,See pricing,Переглянути ціни,Hero/body,Conversion
/uk/pages/index.html,/uk/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Topical relevance
/uk/pages/index.html,/uk/pages/why-selfio.html,Why Selfio,Чому Selfio,Body,Explain product value
/uk/pages/index.html,/uk/pages/signin.html#register,Create account,Створити акаунт,Header CTA,Funnel entry
/uk/pages/index.html,/uk/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/uk/pages/why-selfio.html,/uk/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Next step
/uk/pages/why-selfio.html,/uk/pages/pricing.html,See plans,Переглянути плани,Body,Conversion
/uk/pages/why-selfio.html,/uk/pages/signin.html#register,Start free,Почати безкоштовно,Body CTA,Funnel
/uk/pages/why-selfio.html,/uk/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/uk/pages/solutions.html,/uk/pages/pricing.html,See plans,Переглянути ціни,Body/after cards,Conversion
/uk/pages/solutions.html,/uk/pages/why-selfio.html,Why Selfio,Чому Selfio,Body,Context
/uk/pages/solutions.html,/uk/pages/signin.html#register,Start free,Почати безкоштовно,Body CTA,Funnel
/uk/pages/solutions.html,/uk/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/uk/pages/community.html,/uk/pages/pricing.html,See pricing,Переглянути ціни,Body,Conversion
/uk/pages/community.html,/uk/pages/solutions.html,Explore solutions,Перейти до рішень,Body,Topic link
/uk/pages/community.html,/uk/pages/signin.html#register,Join now,Приєднатися,Body CTA,Funnel
/uk/pages/community.html,/uk/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry

/uk/pages/pricing.html,/uk/pages/signin.html#register,Create account,Створити акаунт,Above plans,Conversion
/uk/pages/pricing.html,/uk/pages/signin.html#login,Sign in,Увійти,Header CTA,Funnel entry
/uk/pages/pricing.html,/uk/pages/solutions.html,Explore solutions,Перейти до рішень,Below plans,Topical
/uk/pages/pricing.html,/uk/pages/why-selfio.html,Why Selfio,Чому Selfio,Below plans,Trust/positioning
